date,close,btc_return,regime,exposure,position_held,strategy_return,equity_strategy,equity_buy_hold
2025-06-19,104722.695052907,,RANGE_BOUND,0.4,0.0,0.0,10000.0,10000.0
2025-06-20,104690.65002458123,-0.00030599888887106186,RANGE_BOUND,0.4,0.4,-0.0005223995555484248,9994.776004444515,9996.94001111129
2025-06-21,103290.105144757,-0.013377936611296048,RANGE_BOUND,0.4,0.4,-0.00535117464451842,9941.292212511891,9863.201581335714
2025-06-22,101532.5683847329,-0.017015538492878735,RANGE_BOUND,0.4,0.4,-0.006806215397151494,9873.62963638751,9695.373895165474
2025-06-23,100852.58264648831,-0.006697217937676414,RISK_OFF,0.2,0.4,-0.0026788871750705657,9847.179296583194,9630.441863202292
2025-06-24,105511.62437933135,0.04619655352975993,RANGE_BOUND,0.4,0.2,0.009039310705951986,9936.191009822229,10075.335086250956
2025-06-25,105976.06929808448,0.0044018364941798005,RANGE_BOUND,0.4,0.4,0.0015607345976719202,9951.698766900336,10119.685063924706
2025-06-26,107238.53045016268,0.011912700295830136,RISK_ON,1.0,0.4,0.004765080118332055,9999.119408838122,10240.237839179428
2025-06-27,106984.01253775663,-0.0023733812029841372,RISK_ON,1.0,1.0,-0.002973381202984137,9969.388215141487,10215.933851177833
2025-06-28,107078.91560644074,0.0008870771102422736,RISK_ON,1.0,1.0,0.0008870771102422736,9978.23183123026,10224.996172256964
2025-06-29,107331.58548463577,0.002359660412734277,RISK_ON,1.0,1.0,0.002359660412734277,10001.777069871498,10249.123690944998
2025-06-30,108396.61631317894,0.009922809056944537,RISK_ON,1.0,1.0,0.009922809056944537,10101.02279396596,10350.823788331254
2025-07-01,107132.79910701896,-0.011659194254814764,RISK_ON,1.0,1.0,-0.011659194254814764,9983.253007038798,10230.141523085744
2025-07-02,105613.39974163055,-0.014182392115701381,RISK_ON,1.0,1.0,-0.014182392115701381,9841.666598302718,10085.053644606223
2025-07-03,108824.44423167943,0.03040376029844971,RISK_ON,1.0,1.0,0.03040376029844971,10140.890270494774,10391.677198213838
2025-07-04,109602.20483914016,0.007146929285528403,RISK_ON,1.0,1.0,0.007146929285528403,10213.366496150302,10465.945780307511
2025-07-05,108040.8919400104,-0.014245269074844358,RISK_ON,1.0,1.0,-0.014245269074844358,10067.87434225264,10316.855566544298
