date,close,volume,fear_greed,rsi,macd,macd_signal,macd_hist,fear_greed_smooth,log_return,realized_vol,vol_zscore,funding_proxy_return,funding_proxy_vol,funding_proxy_sharpe,flow_proxy_signed,flow_proxy_norm,composite,drawdown,recent_return,score_momentum,score_fear_greed,score_volatility,score_funding,score_exchange_flows,regime,target_exposure
2025-06-19,104722.695052907,30339326410.154945,57.0,50.0,0.0,0.0,0.0,57.0,,,0.0,,,0.0,,0.0,0.035,,,0.0,0.14,-0.0,0.0,0.0,RANGE_BOUND,0.4
2025-06-20,104690.65002458123,18063282658.152298,54.0,50.0,-2.5562985559081426,-0.5112597111816285,-2.045038844726514,55.5,-0.0003060457160840174,,0.0,,,0.0,-18063282658.152298,0.0,0.027265590660379355,,,-0.0007813644654021505,0.11,-0.0,0.0,0.0,RANGE_BOUND,0.4
2025-06-21,103290.105144757,30632751225.407444,49.0,50.0,-116.25434284002404,-23.65987633695011,-92.59446650307393,53.333333333333336,-0.01346822737892604,,0.0,,,0.0,-24348016941.77987,0.0,0.005909260654932276,,,-0.03585802003911467,0.06666666666666671,-0.0,0.0,0.0,RANGE_BOUND,0.4
2025-06-22,101532.5683847329,21644463198.719532,42.0,50.0,-344.2115339723532,-87.77020786403074,-256.44132610832247,50.5,-0.017161966175448812,,0.0,,,0.0,-23446832360.759754,0.0,-0.027808461238163575,,,-0.10102820412721192,0.01,-0.0,0.0,0.0,RANGE_BOUND,0.4
2025-06-23,100852.58264648831,51287142390.02526,47.0,50.0,-573.1317108850344,-184.84250846823147,-388.28920241680294,49.8,-0.006719744936878766,,0.0,,,0.0,-30406909868.076134,-1.0004447246645265,-0.19519737894412242,,,-0.15400268083479693,-0.0040000000000000565,-0.0,0.0,-0.9866438312912224,RISK_OFF,0.2
2025-06-24,105511.62437933135,50011797128.6837,65.0,50.0,-374.29226156264485,-222.73245908711417,-151.5598024755307,51.4,0.04516125767420074,,0.0,,,0.0,-14323168468.724167,-0.4254853803991449,-0.12829927676750053,,,-0.05745710138274384,0.027999999999999973,-0.0,0.0,-0.787080975684516,RANGE_BOUND,0.4
2025-06-25,105976.06929808448,31704641076.941063,66.0,50.0,-177.19119223218877,-213.6242057161291,36.43301348394033,53.8,0.004392176748625466,,0.0,,,0.0,-6651866877.779962,-0.19925706032127266,-0.045972855954722,,,0.013751411512145546,0.07599999999999994,-0.0,0.0,-0.4606551960557711,RANGE_BOUND,0.4
2025-06-26,107238.53045016268,30468274982.034847,74.0,50.0,79.96114706411026,-154.90713516008122,234.8682822241915,58.8,0.011842302614463137,0.4007291518708355,0.0,0.023739752829951707,0.02097512245684822,0.30248766542744937,-1348989469.2349892,-0.040854995856434435,0.18051391299519287,,0.02402378391794313,0.08760593090497173,0.17599999999999993,-0.0,0.8366646885856146,-0.1017837970942721,RISK_ON,1.0
2025-06-27,106984.01253775663,24320699663.15122,65.0,50.0,260.2191162118397,-71.88188488569703,332.10100109753677,63.4,-0.0023762021364690535,0.3730429271291137,0.0,0.021363550693482655,0.019525959221245594,0.29241324460960244,-2242906184.234835,-0.06997604327580424,0.2018981122663133,,0.021906087245010974,0.12416845964917692,0.26799999999999996,-0.0,0.8241608919435996,-0.1731770627998648,RISK_ON,1.0
2025-06-28,107078.91560644074,25194306261.888832,65.0,50.0,406.05202496948186,23.704897085338747,382.3471278841431,67.0,0.0008866838898698613,0.34913455421120243,0.0,0.022250234583352516,0.01827453778770132,0.32540496491197823,5732387742.521776,0.18275411501257283,0.32130072293082784,-0.0014884094648808244,0.03668125283030621,0.14282816583217064,0.34,-0.0,0.862139583322434,0.4275422378854103,RISK_ON,1.0
2025-06-29,107331.58548463577,8960877693.57604,68.0,50.0,535.8372055903892,126.13135878634884,409.70584680404033,67.6,0.002356880785894092,0.32916795236499213,0.0,0.024607115369246608,0.01722943808178728,0.381703000541788,10104579298.564,0.34451604617377257,0.3748262531787109,0.0,0.05711484691226265,0.15268789516304634,0.35199999999999987,-0.0,0.9098774550281757,0.6969217758371374,RISK_ON,1.0
2025-06-30,108396.61631317894,14881078675.366829,66.0,50.0,716.3740689738479,244.17990082384867,472.1941681499992,67.6,0.009873901256208309,0.3151823381238441,0.0,0.03448101662545491,0.016497397575193754,0.5585995781285401,19557182307.905727,0.6953486783222563,0.42788030604887817,0.0,0.07480258282660146,0.17424682954520954,0.35199999999999987,-0.0,0.9773375376260204,0.940037510276082,RISK_ON,1.0
2025-07-01,107132.79910701896,22489515582.41552,64.0,50.0,748.8391954185063,345.1117597427802,403.7274356757261,65.6,-0.011727695627927815,0.3114927149641438,0.0,0.022753320997527103,0.016304273872480752,0.3729746491620899,9199851920.605839,0.33221857573466346,0.3608881384507385,-0.011659194254814764,0.015364892136047859,0.1507390599483647,0.3119999999999999,-0.0,0.9036734941700499,0.6807693089381441,RISK_ON,1.0
2025-07-02,105613.39974163055,25033160828.30909,63.0,50.0,644.5354084092105,404.99648947606624,239.53891893314426,65.2,-0.014283923352522546,0.31031020658095126,0.0,0.008469397645004555,0.016242378554838108,0.13936023749303886,1094451648.427246,0.03979500464152431,0.19400240213912032,-0.025676231105841274,-0.0034221835066728934,0.0907229270221942,0.30400000000000005,-0.0,0.5060762556177388,0.0991605712653415,RISK_ON,1.0
2025-07-03,108824.44423167943,36395184773.06136,73.0,63.101083566798216,811.6224815151072,486.32168788387446,325.30079363123275,66.8,0.029950725719260725,0.3335658923955559,0.0,0.03842012336426528,0.0174596367839987,0.5881113113517136,1941153047.1453197,0.06909222730687448,0.36429518994464993,0.0,0.014788656417235924,0.3577705356878147,0.33599999999999997,-0.0,0.9820605575532728,0.1710329707020975,RISK_ON,1.0
2025-07-04,109602.20483914016,29892049537.628605,73.0,65.46635519327059,995.3254791987565,588.1224461468508,407.20303305190566,67.8,0.0071215110229168,0.3221565547772782,0.0,0.04584768010326609,0.017472661614483062,0.7012845663448148,9685831504.39958,0.34337898000042477,0.4711698354509669,0.0,0.02447274353688611,0.4298177140645959,0.3559999999999999,-0.0,0.9927065801343359,0.6954568947429187,RISK_ON,1.0
2025-07-05,108040.8919400104,24248906784.57383,67.0,57.498319850766606,1003.3604115935741,671.1700392361955,332.1903723573786,68.0,-0.014347706920517077,0.32211756607417324,0.0,0.04496820056167506,0.017538944241582307,0.6852326436038665,2622515354.9049144,0.09374645006054148,0.3510777947945146,-0.014245269074844358,0.008983807205382277,0.2593199930213208,0.36,-0.0,0.9917113395573756,0.2301673063634135,RISK_ON,1.0
2025-07-06,108217.46849992426,10042942280.966904,66.0,58.119155021213224,1012.3071592852793,739.3974632460123,272.90969603926703,68.4,0.0016330152396878113,0.31189244245845416,0.0,0.06376318197681168,0.016550973165599343,1.0296329426012636,2777096010.2464666,0.10293792733011678,0.354240843296396,-0.012634201485711372,0.008253702871232615,0.24849554488290176,0.3680000000000001,-0.0,0.9994708195058382,0.25181037937099815,RISK_ON,1.0
2025-07-07,109215.19771840284,14638669497.351297,73.0,61.53790594644892,1087.3713903265307,808.992248662116,278.37914166441465,70.4,0.009177427096375885,0.30433456382809876,0.0,0.07966035401006634,0.016260765130184436,1.309294179791909,2742466127.6728187,0.10416182554471141,0.3837134991205116,-0.0035310158340822184,0.007551724703830809,0.3117363001051774,0.40800000000000014,-0.0,0.9999434979992635,0.2546738959271256,RISK_ON,1.0
2025-07-08,108300.71675785031,25493246475.80407,65.0,56.94923827093435,1060.8406526614708,859.3619294619871,201.47872319948374,68.8,-0.008408454624810834,0.2994840957783726,0.0,0.02609064171105476,0.012003754690810848,0.5809030162309633,2313361714.3315973,0.08800363368068159,0.333859172373362,-0.01187465236853591,0.01090158812769082,0.20076433513546693,0.37599999999999995,-0.0,0.9810057590751305,0.21652671980968213,RISK_ON,1.0
2025-07-09,108953.19187727802,20488865138.27645,66.0,59.28217232863322,1080.014407292343,903.4924250280583,176.52198226428482,67.4,0.00600658543038583,0.29205821279652633,0.0,0.027705050392815126,0.012037620687389007,0.6151121029247287,8816508280.986675,0.3389529560246685,0.4083549796058511,-0.005921531987560624,0.03162280680119989,0.2335733087216714,0.3480000000000001,-0.0,0.9855204181216277,0.6896994951407036,RISK_ON,1.0
2025-07-10,111327.53054245669,37078460440.66385,71.0,66.41457513812564,1272.1346566351567,977.220871349478,294.9137852856787,68.2,0.021558224395983917,0.29613384313478097,0.0,0.037420972174335904,0.01289924227252759,0.7753304640369059,8914119090.644173,0.33620328833475627,0.4646285458306628,0.0,0.023001140308590573,0.4044093921608892,0.36400000000000005,-0.0,0.9959600322049046,0.6860781556777359,RISK_ON,1.0
2025-07-11,115879.65030112496,56204086624.04028,71.0,75.33503832019738,1771.2910189868417,1136.0349008769508,635.2561181098908,69.2,0.040075573055180266,0.33360778820618514,0.0,0.07987274736598522,0.016190725973441306,1.3184640201438291,12672981531.560125,0.45578157568647637,0.5721021641339867,0.0,0.05727481003870327,0.6799183980168,0.38400000000000006,-0.0,0.9999474944265853,0.8142301370997266,RISK_ON,1.0
2025-07-12,117571.02510036016,64185145923.88688,79.0,77.70457370681386,2277.106773828302,1364.2492754672212,912.8574983610806,70.4,0.014490464776393826,0.32588646422324197,0.0,0.09347652825250918,0.016287227191820106,1.533880060503755,25306417632.7688,0.8630879550144894,0.642330775847628,0.0,0.0882085753757138,0.814291790094654,0.40800000000000014,-0.0,0.9999906290678938,0.9736309630603182,EUPHORIA,0.3
2025-07-13,117418.95745007684,24351256098.393543,74.0,76.98844682707849,2635.320481173476,1618.4635166084722,1016.8569645650036,72.2,-0.0012942481195153408,0.3115556592865375,0.0,0.08982539934709975,0.016390624449094622,1.4646695041634874,20392960721.43159,0.7002594959921344,0.6533455624669324,-0.0012934109416288253,0.08502776009918422,0.8371020286634552,0.44400000000000006,-0.0,0.9999836979061905,0.9414493278797822,EUPHORIA,0.3
2025-07-14,119117.55666327637,27310851454.97692,74.0,79.28495521571126,3021.440895888052,1899.0589924643882,1122.381903423664,73.8,0.014362504821765217,0.3070740784506316,0.0,0.09431400291265667,0.01650695251359667,1.5270218732019867,22203272429.663822,0.7642505984727413,0.6853750056247747,0.0,0.09066832411369585,0.9093526316973632,0.4759999999999999,-0.0,0.9999901005638282,0.9571380068732765,EUPHORIA,0.3
2025-07-15,119833.67446712355,68915956378.80447,73.0,80.18288181915248,3346.650722015329,2188.5773383745764,1158.0733836407526,74.2,0.005993858616387011,0.26024371663942375,-2.0278131157474664,0.1120355571569715,0.015638754275242757,1.9146513601485573,35690301408.893616,1.1690708452852754,0.8456275418594769,0.0,0.10649013279440966,0.9353399209846132,0.48400000000000004,0.9659408077048925,0.999999554497921,0.9942300748911391,EUPHORIA,0.3
2025-07-16,117678.19493404306,80299520980.2335,70.0,70.30457192734579,3391.3591903078923,2429.1337087612396,962.2254815466526,74.0,-0.018150997814561597,0.27916474217179127,-1.2973823692807975,0.10816848269493244,0.0160903009169262,1.7966875305867736,21291960534.820766,0.6590652324373241,0.7473106719956011,-0.017987260614893752,0.08008028866738148,0.6962441373962656,0.48,0.8610477723599306,0.9999988552835992,0.9285362442012792,RISK_ON,1.0
2025-07-17,118748.1627367753,50374263848.76278,74.0,72.13942997950274,3473.0927814638126,2637.9255233017543,835.1672581620583,73.0,0.009051233694986961,0.2781547051180176,-1.2498408940477486,0.08726899067065867,0.014786436570517704,1.5773657646216384,23191361021.692043,0.7042766215238148,0.738779571698172,-0.009058486566278723,0.06665585914068783,0.683858940578066,0.46,0.8482390182611249,0.9999933824294727,0.9425801961410838,EUPHORIA,0.3
2025-07-18,119445.36520434043,49282617205.72662,73.0,73.297251805128,3553.166956773901,2820.9738099961837,732.1931467777172,72.8,0.005854100778583816,0.27636058455923923,-1.2334841652788777,0.08600158042632569,0.014784461241551628,1.5546653216264774,22202579676.218662,0.6632695439873687,0.7306676969543531,-0.0032404018695900705,0.030770846252552442,0.6687840717371557,0.45599999999999996,0.8435869806825412,0.9999920646203501,0.9299707909184847,EUPHORIA,0.3
2025-07-19,117988.94664455787,58896449260.69391,74.0,67.03058351739571,3459.2296653473168,2948.6249810664103,510.60468428090644,72.8,-0.012268124308958288,0.2854406575533403,-0.9065509029042748,0.08808116303788448,0.014571667643711,1.615510427370726,4619494649.849978,0.13418485580275982,0.5652580532169766,-0.015394068743771805,0.003554630435866013,0.4827495216472356,0.45599999999999996,0.7194726756892683,0.999995122797092,0.32342017966567943,RISK_ON,1.0
2025-07-20,117901.62655900871,23934511126.349533,72.0,66.66258691462434,3339.24494683143,3026.7489742194143,312.4959726120155,72.6,-0.0007403440362342218,0.2861799606047061,-0.8519851624237488,0.08570780376196245,0.014643661094365865,1.564251858015319,4679029645.856264,0.13514591939254192,0.5383427503421372,-0.016122746103766517,0.004110657422052855,0.4089753492824225,0.4519999999999999,0.6921051421338161,0.9999926504491713,0.32556984446641524,RISK_ON,1.0
